map,name,area_km2,perimeter_km,polsby_popper,pp_percentile_rank
2019_enacted,Calgary-Acadia,73.3614,46.9531,0.418167,66.29
2019_enacted,Calgary-Beddington,28.7987,43.0690,0.195098,11.24
2019_enacted,Calgary-Bhullar-McCall,57.5124,43.7954,0.376804,50.56
2019_enacted,Calgary-Bow,25.6211,38.6867,0.215122,14.61
2019_enacted,Calgary-Buffalo,5.3410,29.1452,0.079013,3.37
2019_enacted,Calgary-Confluence,6.4296,17.7313,0.256989,21.35
2019_enacted,Calgary-Cross,14.1951,24.5064,0.297023,34.83
2019_enacted,Calgary-Currie,22.3241,23.1519,0.523370,89.89
2019_enacted,Calgary-East,4.2739,70.5966,0.010776,1.12
2019_enacted,Calgary-Edgemont,25.5561,24.1698,0.549742,93.26
2019_enacted,Calgary-Elbow,25.3478,23.6830,0.567906,95.51
2019_enacted,Calgary-Falconridge-Conrich,5.5764,57.3836,0.021281,2.25
2019_enacted,Calgary-Fish Creek,38.8811,32.2043,0.471108,78.65
2019_enacted,Calgary-Glenmore-Tsuut'ina,112.2799,73.1897,0.263398,24.72
2019_enacted,Calgary-Hays,29.9952,35.4297,0.300280,35.96
2019_enacted,Calgary-Klein,44.1733,42.1338,0.312686,39.33
2019_enacted,Calgary-Lougheed,53.2742,36.3918,0.505497,86.52
2019_enacted,Calgary-McKenzie,16.1641,31.8276,0.200519,13.48
2019_enacted,Calgary-Mountain View,17.8424,25.5617,0.343149,44.94
2019_enacted,Calgary-North,13.9520,18.3933,0.518235,88.76
2019_enacted,Calgary-North East,29.0120,43.0286,0.196912,12.36
2019_enacted,Calgary-North West,22.7536,45.8775,0.135850,8.99
2019_enacted,Calgary-Nose Creek,27.5242,27.0744,0.471852,79.78
2019_enacted,Calgary-Shaw,36.9638,29.0895,0.548927,92.13
2019_enacted,Calgary-South East,68.7495,52.9462,0.308183,38.20
2019_enacted,Calgary-Symons Valley,10.8125,20.5930,0.320402,40.45
2019_enacted,Calgary-Varsity,24.0126,27.4616,0.400127,60.67
2019_enacted,Calgary-West-Elbow Valley,544.3980,142.7665,0.335640,43.82
